X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET,COD
638663.6800000003,7981552.08,0.076001,0.38,3.98,2.21,3.56,3.11,6.51,0.49,1435.25,8673,8164,8288,15656,11371,6,PP4egm
638663.6800000003,7981489.58,0.054137,0.41,3.66,2.44,3.6,3.11,6.91,0.47,1433.84,9071,8665,8944,17906,13743,6,PP4egm
638726.1800000003,7981489.58,0.071591,0.57,5.3,2.63,4.23,2.72,6.97,0.41,1430.14,9036,8791,9117,17693,13716,6,PP4egm
638788.6800000003,7981489.58,0.055794,0.8,7.26,2.88,4.92,2.4,7.16,0.36,1425.73,8862,8606,8891,16064,11973,6,PP4egm
638851.1800000003,7981489.58,0.033372000000000006,1.05,9.2,3.17,5.54,2.21,7.5,0.33,1421.32,8742,8545,8667,15789,11648,6,PP4egm
638788.6800000003,7981427.079999999,0.028260000000000007,0.85,6.6,2.97,4.92,2.51,7.64,0.36,1422.72,8705,8261,8287,15269,11403,6,PP4egm
638663.6800000003,7981427.079999999,0.051313,0.44,3.2,2.62,3.62,3.14,7.37,0.44,1432.31,9347,8898,9163,18497,14848,6,PP4egm
638726.1800000003,7981427.079999999,0.047716,0.62,4.74,2.8,4.25,2.8,7.47,0.4,1427.89,9016,8531,8604,16202,12264,6,PP4egm
638663.6800000003,7981364.58,0.048052,0.49,2.99,2.77,3.63,3.18,7.87,0.42,1430.14,9285,8858,8972,17907,14332,6,PP4egm
638726.1800000003,7981364.58,0.044078,0.64,4.2,2.87,4.23,2.87,7.93,0.38,1425.09,8904,8317,8311,15765,11898,6,PP4egm
638788.6800000003,7981364.58,0.035136,0.83,5.69,2.97,4.87,2.59,8.06,0.35,1419.27,8434,7986,7687,13541,10323,6,PP4egm
638663.6800000003,7981302.08,0.042386,0.53,3.17,2.77,3.65,3.21,8.35,0.4,1427.84,9562,9334,9861,19258,15450,6,PP4egm
640038.69,7981614.579999999,0.023754,0.12,2.43,1.7,2.16,9.03,23.7,0.41,1366.47,8765,8562,8986,16352,12244,6,PP4egm
640038.69,7981552.08,0.024093,0.2,3.47,1.42,2.45,8.81,25.31,0.39,1367.67,8711,8287,8161,14750,11084,6,PP4egm
639976.19,7981489.58,0.028794,0.21,4.28,1.22,2.54,8.25,23.08,0.4,1365.98,8673,7963,7703,13065,10235,6,PP4egm
640038.69,7981489.58,0.027867000000000003,0.2,5.18,1.39,2.83,8.56,26.9,0.37,1368.34,9099,8748,8902,16362,12751,6,PP4egm
639976.19,7981427.079999999,0.038595,0.17,5.88,1.39,2.88,7.78,23.35,0.38,1366.35,8859,8127,8053,13776,11006,6,PP4egm
640038.69,7981427.079999999,0.036322,0.18,6.96,1.52,3.2,8.3,28.19,0.34,1368.94,9119,8614,8952,17071,13222,6,PP4egm
