X,Y,GT,K,TH,U,U_K,TH_K,U_TH,MDT,B01,B02,B03,B04,B05,B06,B07,R,G,B,TARGET,UNID,COD
638663.6800000003,7981552.08,0.076001,0.38,3.98,2.21,3.11,6.51,0.49,1435.25,9439,8673,8164,8288,13873,15656,11371,208,199,185,6,Fm_GM,PP4egm
638663.6800000003,7981489.58,0.054137,0.41,3.66,2.44,3.11,6.91,0.47,1433.84,9737,9071,8665,8944,12704,17906,13743,195,189,169,6,Fm_GM,PP4egm
638726.1800000003,7981489.58,0.071591,0.57,5.3,2.63,2.72,6.97,0.41,1430.14,9717,9036,8791,9117,12867,17693,13716,197,160,153,6,Fm_GM,PP4egm
638788.6800000003,7981489.58,0.055794,0.8,7.26,2.88,2.4,7.16,0.36,1425.73,9545,8862,8606,8891,13373,16064,11973,226,208,202,6,Fm_GM,PP4egm
638851.1800000003,7981489.58,0.033372000000000006,1.05,9.2,3.17,2.21,7.5,0.33,1421.32,9498,8742,8545,8667,13115,15789,11648,161,167,130,6,Fm_GM,PP4egm
638788.6800000003,7981427.079999999,0.028260000000000007,0.85,6.6,2.97,2.51,7.64,0.36,1422.72,9443,8705,8261,8287,12890,15269,11403,142,107,106,6,Fm_GM,PP4egm
638663.6800000003,7981427.079999999,0.051313,0.44,3.2,2.62,3.14,7.37,0.44,1432.31,10002,9347,8898,9163,12529,18497,14848,226,175,200,6,Fm_GM,PP4egm
638726.1800000003,7981427.079999999,0.047716,0.62,4.74,2.8,2.8,7.47,0.4,1427.89,9690,9016,8531,8604,12828,16202,12264,170,107,122,6,Fm_GM,PP4egm
638663.6800000003,7981364.58,0.048052,0.49,2.99,2.77,3.18,7.87,0.42,1430.14,9973,9285,8858,8972,12917,17907,14332,224,150,198,6,Fm_GM,PP4egm
638726.1800000003,7981364.58,0.044078,0.64,4.2,2.87,2.87,7.93,0.38,1425.09,9601,8904,8317,8311,12884,15765,11898,243,171,217,6,Fm_GM,PP4egm
638788.6800000003,7981364.58,0.035136,0.83,5.69,2.97,2.59,8.06,0.35,1419.27,9256,8434,7986,7687,13368,13541,10323,217,160,177,6,Fm_GM,PP4egm
638663.6800000003,7981302.08,0.042386,0.53,3.17,2.77,3.21,8.35,0.4,1427.84,10148,9562,9334,9861,13373,19258,15450,228,150,187,6,Fm_GM,PP4egm
640038.69,7981614.579999999,0.023754,0.12,2.43,1.7,9.03,23.7,0.41,1366.47,9528,8765,8562,8986,14164,16352,12244,183,250,189,6,Fm_GM,PP4egm
640038.69,7981552.08,0.024093,0.2,3.47,1.42,8.81,25.31,0.39,1367.67,9524,8711,8287,8161,12736,14750,11084,27,207,41,6,Fm_GM,PP4egm
639976.19,7981489.58,0.028794,0.21,4.28,1.22,8.25,23.08,0.4,1365.98,9433,8673,7963,7703,12142,13065,10235,66,119,76,6,Fm_GM,PP4egm
640038.69,7981489.58,0.027867000000000003,0.2,5.18,1.39,8.56,26.9,0.37,1368.34,9788,9099,8748,8902,13095,16362,12751,83,141,68,6,Fm_GM,PP4egm
639976.19,7981427.079999999,0.038595,0.17,5.88,1.39,7.78,23.35,0.38,1366.35,9546,8859,8127,8053,12176,13776,11006,206,98,147,6,Fm_GM,PP4egm
640038.69,7981427.079999999,0.036322,0.18,6.96,1.52,8.3,28.19,0.34,1368.94,9740,9119,8614,8952,12759,17071,13222,197,156,169,6,Fm_GM,PP4egm
639913.69,7981364.58,0.05969500000000001,0.18,6.1,1.63,7.12,19.59,0.4,1364.24,9575,8887,8465,8897,10628,14586,13434,161,119,118,6,Fm_GM,PP4egm
639976.19,7981364.58,0.05674700000000001,0.18,6.98,1.66,7.45,23.73,0.36,1366.66,9940,9306,9076,9871,13014,16085,13029,186,115,153,6,Fm_GM,PP4egm
640038.69,7981364.58,0.051492,0.16,8.26,1.75,8.07,29.19,0.33,1369.52,10665,10241,10147,11238,14937,18902,15049,161,57,85,6,Fm_GM,PP4egm
639913.69,7981302.08,0.083412,0.23,6.36,1.86,6.61,18.73,0.39,1364.84,9726,9053,8761,9533,11882,15135,13961,164,98,110,6,Fm_GM,PP4egm
639976.19,7981302.08,0.07951799999999999,0.21,7.16,1.87,7.09,23.48,0.36,1367.31,9948,9280,9171,9739,13562,16026,12694,176,110,140,6,Fm_GM,PP4egm
640038.69,7981302.08,0.070999,0.18,8.53,1.94,7.81,29.41,0.32,1370.33,9674,8993,8738,9213,11832,14857,12003,204,119,153,6,Fm_GM,PP4egm
639851.1800000003,7981239.58,0.108566,0.33,4.54,1.69,6.18,15.41,0.43,1363.82,9560,8840,8626,9062,12780,15858,12297,202,119,136,6,Fm_GM,PP4egm
639913.69,7981239.58,0.102421,0.32,5.11,1.79,6.28,18.21,0.39,1365.81,9501,8798,8378,8689,12494,15226,11883,204,115,136,6,Fm_GM,PP4egm
640038.69,7981239.58,0.08919099999999999,0.22,7.41,1.98,7.54,28.82,0.31,1371.59,9618,8997,8652,9218,12852,14942,11957,179,76,118,6,Fm_GM,PP4egm
639976.19,7981239.58,0.0965,0.28,6.01,1.87,6.79,22.89,0.35,1368.45,9579,8884,8653,9177,12579,15689,12363,195,76,129,6,Fm_GM,PP4egm
639851.1800000003,7981177.080000001,0.129563,0.41,3.4,1.65,5.85,14.67,0.44,1365.72,9598,8985,8753,9212,14050,18198,13384,110,54,60,6,Fm_GM,PP4egm
639913.69,7981177.080000001,0.120924,0.42,3.45,1.66,6.0,17.46,0.4,1367.75,9617,8970,8855,9404,13649,18311,13391,173,110,122,6,Fm_GM,PP4egm
639976.19,7981177.080000001,0.112771,0.36,4.28,1.78,6.53,21.97,0.35,1370.37,9614,8990,8954,9674,13405,18069,13306,113,60,76,6,Fm_GM,PP4egm
640038.69,7981177.080000001,0.107113,0.27,5.56,1.94,7.29,27.66,0.31,1373.27,9661,9068,9066,9785,13908,17586,12950,117,65,85,6,Fm_GM,PP4egm
639851.1800000003,7981114.58,0.12108900000000003,0.45,2.47,1.63,5.62,13.96,0.44,1368.94,9786,9154,9006,9640,13349,19147,14739,93,205,136,6,Fm_GM,PP4egm
639913.69,7981114.58,0.126049,0.45,2.33,1.61,5.83,16.66,0.4,1370.87,9972,9385,9233,9805,13476,19439,15151,158,233,185,6,Fm_GM,PP4egm
639976.19,7981114.58,0.10753,0.4,2.8,1.71,6.35,20.84,0.36,1373.04,9772,9189,9324,10104,14008,18980,14528,164,201,164,6,Fm_GM,PP4egm
640038.69,7981114.58,0.108812,0.34,3.75,1.87,7.09,26.08,0.31,1375.34,9730,9120,8992,9663,13271,18079,13717,173,188,164,6,Fm_GM,PP4egm
639913.69,7981052.08,0.116594,0.44,1.57,1.57,5.71,15.8,0.41,1374.67,10188,9613,9580,10023,13946,18982,15035,232,163,189,6,Fm_GM,PP4egm
639976.19,7981052.08,0.114111,0.41,1.74,1.65,6.22,19.54,0.37,1376.12,10003,9477,9696,10475,14470,19067,15180,226,185,207,6,Fm_GM,PP4egm
640038.69,7981052.08,0.091221,0.37,2.35,1.8,6.93,24.29,0.32,1377.64,9966,9400,9549,10422,14656,18646,14627,231,209,222,6,Fm_GM,PP4egm
639913.69,7980989.580000001,0.059651,0.4,1.3,1.52,5.64,14.97,0.43,1378.59,9667,8994,8572,8602,13392,16899,13112,148,106,129,6,Fm_GM,PP4egm
639976.19,7980989.580000001,0.074335,0.38,1.33,1.58,6.1,18.31,0.38,1379.31,10162,9679,9645,10402,15120,19177,15044,223,170,204,6,Fm_GM,PP4egm
640038.69,7980989.580000001,0.075363,0.35,1.91,1.73,6.76,22.61,0.34,1380.05,9739,9180,9174,9742,14115,17511,13659,219,170,196,6,Fm_GM,PP4egm
639788.6800000003,7980927.079999999,0.050566,0.33,2.45,1.54,5.44,11.35,0.5,1378.7,9654,8907,8355,8255,11643,14823,12216,247,249,253,6,Fm_GM,PP4egm
639851.1800000003,7980927.079999999,0.045242,0.34,1.85,1.46,5.46,12.48,0.48,1381.4000000000005,9803,9133,8602,8703,12101,17152,13951,214,205,217,6,Fm_GM,PP4egm
639913.69,7980927.079999999,0.050363,0.35,1.41,1.4,5.64,14.31,0.44,1382.03,9721,9049,8616,8578,12682,17659,13940,188,141,153,6,Fm_GM,PP4egm
639976.19,7980927.079999999,0.050255,0.33,1.31,1.47,6.05,17.09,0.4,1382.22,9878,9217,8976,9294,13351,17878,14016,247,248,251,6,Fm_GM,PP4egm
640038.69,7980927.079999999,0.054504,0.3,1.8,1.62,6.66,20.95,0.36,1382.23,10027,9509,9854,10361,14540,18722,14783,219,185,202,6,Fm_GM,PP4egm
639976.19,7980864.579999999,0.044066,0.3,1.53,1.3,6.07,16.03,0.42,1384.44,10937,10471,9840,10293,14295,19503,16130,249,249,253,6,Fm_GM,PP4egm
639663.6800000003,7980864.579999999,0.070211,0.26,3.02,1.77,5.73,10.72,0.53,1373.81,10282,9716,9197,9573,14071,19576,16080,208,202,176,6,Fm_GM,PP4egm
639726.1800000003,7980864.579999999,0.057548,0.25,3.1,1.49,5.66,11.02,0.52,1377.84,9776,9091,8408,8365,12230,15248,12398,202,132,185,6,Fm_GM,PP4egm
639788.6800000003,7980864.579999999,0.042338,0.25,2.98,1.27,5.58,11.5,0.51,1381.31,9692,8976,8325,8263,11740,16471,13199,240,233,248,6,Fm_GM,PP4egm
639851.1800000003,7980864.579999999,0.038757,0.27,2.41,1.19,5.57,12.34,0.49,1383.35,10242,9608,9132,9253,12125,16733,13579,212,132,209,6,Fm_GM,PP4egm
639913.69,7980864.579999999,0.042273000000000005,0.3,1.81,1.19,5.71,13.76,0.46,1384.19,9970,9318,8721,8729,12513,16846,13361,188,65,147,6,Fm_GM,PP4egm
640038.69,7980864.579999999,0.045806,0.29,1.85,1.49,6.68,19.34,0.39,1384.22,10592,10214,9495,10133,14364,18784,15445,239,225,248,6,Fm_GM,PP4egm
639663.6800000003,7980802.079999999,0.051629,0.18,3.02,1.6,6.02,11.43,0.53,1375.3,11210,10775,10534,11315,15742,22141,18317,117,149,89,6,Fm_GM,PP4egm
639726.1800000003,7980802.079999999,0.042664,0.18,3.37,1.29,5.94,11.65,0.52,1379.18,10412,9828,9634,9923,13708,18523,15375,158,76,129,6,Fm_GM,PP4egm
639788.6800000003,7980802.079999999,0.03465,0.19,3.55,1.01,5.82,11.93,0.51,1382.58,9616,8889,8208,7921,12354,13894,11272,208,174,220,6,Fm_GM,PP4egm
639851.1800000003,7980802.079999999,0.035352,0.23,2.95,0.95,5.75,12.39,0.49,1384.44,10570,9953,9411,9699,12910,17406,14513,195,76,153,6,Fm_GM,PP4egm
639913.6800000003,7980802.079999999,0.036372,0.27,2.25,0.99,5.84,13.37,0.47,1385.5100000000002,10197,9555,9145,9315,12735,16926,13757,219,115,207,6,Fm_GM,PP4egm
639976.19,7980802.079999999,0.037498,0.29,1.78,1.13,6.16,15.1,0.45,1386.0,10048,9400,8946,9100,13162,18817,15406,246,241,251,6,Fm_GM,PP4egm
640038.69,7980802.079999999,0.038163,0.29,1.83,1.36,6.77,17.88,0.42,1385.72,11117,10640,9999,10417,14615,18666,15579,240,226,248,6,Fm_GM,PP4egm
639663.6800000003,7980739.58,0.037422,0.16,2.89,1.54,6.43,12.45,0.52,1376.41,10664,10196,9922,10581,15185,21044,17055,212,231,235,6,Fm_GM,PP4egm
639726.1800000003,7980739.58,0.033221,0.17,3.29,1.23,6.32,12.51,0.51,1379.57,12778,12654,11333,12155,16491,21473,18237,151,110,129,6,Fm_GM,PP4egm
639788.6800000003,7980739.58,0.030021,0.19,3.42,0.98,6.13,12.46,0.51,1382.61,9509,8744,8149,7879,11601,13352,10522,170,132,155,6,Fm_GM,PP4egm
639851.1800000003,7980739.58,0.031263,0.23,3.04,0.86,5.99,12.57,0.5,1384.86,10243,9615,9147,9298,12830,17998,14832,158,57,118,6,Fm_GM,PP4egm
639913.6800000003,7980739.58,0.031771,0.26,2.49,0.86,6.02,13.13,0.49,1386.33,10377,9704,9666,9936,12891,17345,14444,183,98,185,6,Fm_GM,PP4egm
639976.19,7980739.58,0.032421,0.29,2.03,0.98,6.31,14.43,0.47,1387.05,10091,9409,9110,9225,13065,17858,14821,224,110,179,6,Fm_GM,PP4egm
