X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
639163.6800000003,7980052.08,0.017519,0.10203459449991208,4.4,1.63,2.91,13.1,26.47,0.48,1392.24,9403.0,9170.0,9565.0,17814.0,14309.0,5
639538.68,7982927.079999999,0.023929,1.22,11.25,3.17,6.57,2.6,8.93,0.29,1366.32,9985.0,9688.0,10480.0,17584.0,14080.0,5
637413.6800000003,7981989.580000001,0.015998,0.54,4.55,1.48,3.3,3.37,7.78,0.44,1387.94,9394.0,9145.0,9419.0,15668.0,12372.0,5
638351.1800000003,7973677.07,0.031443,0.4,6.88,2.6,4.14,5.82,10.93,0.55,1410.3,9029.0,8869.0,9299.0,16583.0,12088.0,4
634163.67,7971489.559999999,0.012111,0.46,6.01,1.41,3.45,3.65,9.83,0.37,1248.2,8987.0,8885.0,9337.0,14763.0,11309.0,6
634226.1800000003,7971802.0699999975,0.043387,0.58,4.26,2.36,3.32,4.14,9.26,0.41,1248.46,8784.0,8366.0,8519.0,15270.0,11450.0,6
638163.6800000003,7978239.57,0.029972000000000002,0.21,2.51,2.31,2.59,9.1,10.36,0.82,1374.06,8445.0,7887.0,7401.0,11885.0,8972.0,3
637226.1800000003,7979114.58,0.015119999999999996,0.33,2.13,2.38,3.25,4.78,7.71,0.69,1415.4000000000005,9689.0,9258.0,9792.0,21079.0,17838.0,3
638476.1800000003,7971614.559999998,0.08036499999999999,0.7,2.67,3.02,3.98,4.52,5.57,0.79,1347.61,8867.0,8502.0,8812.0,16444.0,11932.0,4
638726.1800000003,7978489.58,0.011041,0.27,2.88,0.83,1.9,4.94,10.94,0.48,1420.3,8967.0,8707.0,9027.0,16578.0,12711.0,6
638663.6800000003,7980052.08,0.04615,0.28,5.02,2.29,3.34,7.87,21.76,0.37,1408.2,8855.0,8479.0,8701.0,15998.0,12103.0,5
634226.1800000003,7971427.059999999,0.018231,0.53,5.99,2.17,4.31,3.37,8.99,0.39,1260.21,9002.0,8662.0,8910.0,14491.0,11273.0,6
634788.6800000003,7969489.559999999,0.12381900000000001,1.17,7.29,4.32,6.79,3.56,6.9,0.5,1282.13,8565.0,8166.0,7917.0,13194.0,9547.0,4
636601.1800000003,7970177.06,0.16359,4.41,11.93,6.35,13.41,2.08,4.26,0.53,1293.43,8891.0,8605.0,8851.0,14525.0,10583.0,2
639913.6800000003,7980114.58,0.022375,0.24,3.8,1.45,2.3,8.17,16.09,0.52,1387.58,10161.0,9802.0,10129.0,18718.0,15094.0,6
639351.1800000003,7980989.580000001,0.068023,0.44,5.34,2.98,4.35,4.74,10.02,0.45,1367.79,9519.0,9498.0,10299.0,15847.0,13820.0,5
635226.1800000003,7970239.559999999,0.045076,2.56,21.33,6.0,14.31,2.48,8.869999999999997,0.28,1264.89,9360.0,8950.0,9211.0,17777.0,13125.0,2
636788.6800000003,7973739.5699999975,0.026277,0.22,4.2,1.82,2.71,9.15,14.36,0.64,1383.59,9381.0,9281.0,9809.0,18369.0,14895.0,4
638288.6800000003,7976427.07,0.010891,0.58,3.34,2.06,4.03,4.55,11.23,0.4,1417.86,9434.0,8823.0,9073.0,16651.0,14156.0,3
639913.6800000003,7980364.58,0.013165999999999999,0.24,3.29,2.03,2.42,7.05,13.95,0.49,1387.95,9797.0,9463.0,9983.0,16616.0,13800.0,6
635538.68,7970989.56,0.028301,2.08,17.29,6.55,12.47,2.94,9.29,0.31,1263.57,8237.0,7708.0,7146.0,10841.0,7972.0,2
638726.1800000003,7971989.57,0.1117,0.10203459449991208,3.39,2.76,3.37,9.96,14.76,0.67,1349.06,9193.0,8725.0,8681.0,15685.0,12367.0,4
