X,Y,ENTROPY
638163.680,7980989.580,1.193
638288.680,7978239.570,1.062
637601.180,7980614.580,0.994
637913.680,7983114.580,1.413
637913.680,7974364.570,0.780
636538.680,7972677.070,1.087
636101.180,7972302.070,0.995
639226.180,7983177.080,0.727
635038.680,7971614.560,0.888
638851.180,7972239.570,0.870
637288.680,7977052.070,0.085
639413.680,7983239.580,0.590
636851.180,7977489.570,0.237
636601.180,7973114.570,0.369
636601.180,7975739.570,0.658
636663.680,7977052.070,0.266
637226.180,7973114.570,1.052
634538.680,7971489.560,0.721
637726.180,7979364.580,0.466
639913.680,7979677.080,1.306
637601.180,7976239.570,0.243
636288.680,7974364.570,0.770
637413.680,7978739.580,1.392
635913.680,7973239.570,1.106
638038.680,7973864.570,1.046
639788.680,7980489.580,1.032
638163.680,7973677.070,0.938
638351.180,7981427.080,1.164
639351.180,7980302.080,0.468
639913.690,7980927.080,0.838
637913.680,7977864.570,1.413
638851.180,7981864.580,0.893
638788.680,7977614.570,1.585
636788.680,7979302.080,0.975
636976.180,7973114.570,1.310
634538.680,7970114.560,0.646
635288.680,7970489.560,0.939
637663.680,7977052.070,0.108
636913.680,7971614.560,1.271
638288.680,7975114.570,1.535
636351.180,7974302.070,1.522
637601.180,7979239.580,0.363
636538.680,7977302.070,0.590
636226.180,7979802.080,0.281
638226.180,7975427.070,1.049
638226.180,7977364.570,0.828
637601.180,7972802.070,1.064
637726.180,7973677.070,1.261
638726.180,7975927.070,1.328
637976.180,7976114.570,0.809
639101.180,7973114.570,1.119
637851.180,7982864.580,1.525
639226.180,7982614.580,0.329
635976.180,7972614.570,0.752
638601.180,7974802.070,1.567
637788.680,7972114.570,0.276
634413.680,7971552.060,0.784
635851.180,7976302.070,0.367
638038.680,7973677.070,1.658
636163.680,7977364.570,1.397
639538.680,7980177.080,0.718
636163.680,7972239.570,0.752
638476.180,7982177.080,1.486
638351.180,7976677.070,1.343
636726.180,7973364.570,0.577
638476.180,7980614.580,1.015
639163.680,7979989.580,0.807
637101.180,7971739.560,1.309
636101.180,7974239.570,1.257
638288.680,7980177.080,0.637
638226.180,7976114.570,0.650
636101.180,7979802.080,0.444
637913.680,7977802.070,1.209
635913.680,7974177.070,1.309
638913.680,7972989.570,1.412
637913.680,7975114.570,1.041
639226.180,7980864.580,1.328
638601.180,7975489.570,0.336
638913.680,7977989.570,1.162
634663.680,7969114.560,0.850
636913.680,7973427.070,0.466
635351.180,7969677.060,0.525
636351.180,7972427.070,0.809
640038.690,7979677.080,0.546
635101.180,7971552.060,1.099
636726.180,7979302.080,0.878
640038.690,7981052.080,1.037
636476.180,7971927.070,1.420
637726.180,7975989.570,0.241
638476.180,7973177.070,1.126
638601.180,7979802.080,1.002
637413.680,7975239.570,0.154
636351.180,7971927.070,0.175
638788.680,7971614.560,0.722
636413.680,7970802.060,0.029
638163.680,7983177.080,0.854
640038.690,7980302.080,1.271
637601.180,7972364.570,1.184
639163.680,7973614.570,1.163
635913.680,7971552.060,0.216
636413.680,7971489.560,0.405
638288.680,7972927.070,0.988
637538.680,7981427.080,1.647
638163.680,7974864.570,1.115
635726.180,7979739.580,0.828
639351.180,7982239.580,0.231
638726.180,7980552.080,0.508
637538.680,7975739.570,0.582
634663.680,7969864.560,1.484
638538.680,7975364.570,0.384
637601.180,7981677.080,0.929
638976.180,7971927.070,1.915
639226.180,7981239.580,1.243
637163.680,7979364.580,0.789
636288.680,7972489.570,1.065
636101.180,7970177.060,1.352
639288.680,7973614.570,0.927
636413.680,7974864.570,0.739
637476.180,7978739.580,0.920
638038.680,7973239.570,0.980
636726.180,7976239.570,0.958
638101.180,7979177.080,1.355
638038.680,7973052.070,1.168
635851.180,7979239.580,1.491
636163.680,7972114.570,0.651
639101.180,7975239.570,0.991
637913.680,7972114.570,1.200
639413.680,7981552.080,0.822
635913.680,7972677.070,0.912
637226.180,7975364.570,0.436
638288.680,7977552.070,1.532
637538.680,7977614.570,0.018
634976.180,7970927.060,1.097
637538.680,7976239.570,0.174
636851.180,7978427.080,0.721
636913.680,7977864.570,0.559
638851.180,7974739.570,0.929
636726.180,7971864.570,1.372
639226.180,7972989.570,0.849
637663.680,7981177.080,1.213
637226.180,7977364.570,0.368
639163.680,7973989.570,1.022
636663.680,7978364.580,0.689
638476.180,7975614.570,0.258
637851.180,7982489.580,1.319
639601.180,7979989.580,1.022
636226.180,7977177.070,0.988
635976.180,7970802.060,0.312
639413.680,7980177.080,0.886
637163.680,7973864.570,0.618
636226.180,7977552.070,1.250
637663.680,7977302.070,0.067
639038.680,7981364.580,1.261
634851.180,7970052.060,0.697
638226.180,7982177.080,1.252
636288.680,7974427.070,0.814
639226.180,7973864.570,1.140
637288.680,7974552.070,0.519
638226.180,7975114.570,1.350
638663.680,7977302.070,1.317
636226.180,7973302.070,1.266
637663.680,7979614.580,1.677
635851.180,7976802.070,1.721
637226.180,7973802.070,0.547
634726.180,7969114.560,0.745
639413.680,7979677.080,0.701
637726.180,7979177.080,0.179
638976.180,7977614.570,1.356
635913.680,7979739.580,0.347
638538.680,7973052.070,1.348
637851.180,7982989.580,1.537
635726.180,7979802.080,0.728
637101.180,7976989.570,0.059
634726.180,7971052.060,1.518
638788.680,7983114.580,1.103
635976.180,7976989.570,0.669
636913.680,7974114.570,1.414
638726.180,7982677.080,0.958
636601.180,7974989.570,0.152
637163.680,7974302.070,0.482
636913.680,7979614.580,0.186
640038.690,7981114.580,0.790
634288.680,7971489.560,0.852
634476.180,7969614.560,0.877
638163.680,7972802.070,1.327
636788.680,7975739.570,0.661
635163.680,7970489.560,1.257
637163.680,7975614.570,1.441
638601.180,7979302.080,1.150
637538.680,7978614.580,0.203
638726.180,7974427.070,0.767
638601.180,7980239.580,1.103
636038.680,7978864.580,0.867
637038.680,7978677.080,1.395
635976.180,7973802.070,1.279
638851.180,7972177.070,0.512
636351.180,7979489.580,0.255
638913.680,7978239.570,0.676
635788.680,7978677.080,1.284
637851.180,7972052.070,0.356
639913.690,7981989.580,0.624
637726.180,7978989.580,0.124
635851.180,7970177.060,0.248
638288.680,7974927.070,1.486
