X,Y,ENTROPY
638163.680,7980989.580,0.886
638288.680,7978239.570,0.761
637601.180,7980614.580,0.964
637913.680,7983114.580,0.637
637913.680,7974364.570,0.560
636538.680,7972677.070,0.628
636101.180,7972302.070,0.640
639226.180,7983177.080,0.370
635038.680,7971614.560,0.216
638851.180,7972239.570,0.279
637288.680,7977052.070,0.065
639413.680,7983239.580,0.174
636851.180,7977489.570,0.079
636601.180,7973114.570,0.149
636601.180,7975739.570,0.079
636663.680,7977052.070,0.040
637226.180,7973114.570,0.553
634538.680,7971489.560,0.108
637726.180,7979364.580,0.053
639913.680,7979677.080,1.175
637601.180,7976239.570,0.095
636288.680,7974364.570,0.417
637413.680,7978739.580,0.909
635913.680,7973239.570,0.593
638038.680,7973864.570,0.227
639788.680,7980489.580,1.345
638163.680,7973677.070,1.025
638351.180,7981427.080,0.619
639351.180,7980302.080,0.370
639913.690,7980927.080,0.092
637913.680,7977864.570,0.901
638851.180,7981864.580,0.883
638788.680,7977614.570,0.900
636788.680,7979302.080,0.810
636976.180,7973114.570,0.677
634538.680,7970114.560,0.778
635288.680,7970489.560,0.341
637663.680,7977052.070,0.051
636913.680,7971614.560,1.124
638288.680,7975114.570,0.669
636351.180,7974302.070,1.136
637601.180,7979239.580,0.085
636538.680,7977302.070,0.059
636226.180,7979802.080,0.050
638226.180,7975427.070,1.261
638226.180,7977364.570,0.539
637601.180,7972802.070,0.867
637726.180,7973677.070,0.652
638726.180,7975927.070,1.068
637976.180,7976114.570,0.524
639101.180,7973114.570,1.000
637851.180,7982864.580,0.761
639226.180,7982614.580,0.036
635976.180,7972614.570,0.659
638601.180,7974802.070,0.187
637788.680,7972114.570,0.132
634413.680,7971552.060,0.134
635851.180,7976302.070,0.065
638038.680,7973677.070,0.734
636163.680,7977364.570,1.232
639538.680,7980177.080,0.232
636163.680,7972239.570,0.602
638476.180,7982177.080,1.130
638351.180,7976677.070,1.007
636726.180,7973364.570,0.136
638476.180,7980614.580,0.822
639163.680,7979989.580,0.387
637101.180,7971739.560,1.174
636101.180,7974239.570,1.129
638288.680,7980177.080,0.307
638226.180,7976114.570,0.596
636101.180,7979802.080,0.040
637913.680,7977802.070,0.146
635913.680,7974177.070,1.088
638913.680,7972989.570,1.126
637913.680,7975114.570,0.194
639226.180,7980864.580,1.015
638601.180,7975489.570,0.191
638913.680,7977989.570,0.828
634663.680,7969114.560,0.594
636913.680,7973427.070,0.098
635351.180,7969677.060,0.825
636351.180,7972427.070,0.353
640038.690,7979677.080,0.220
635101.180,7971552.060,0.213
636726.180,7979302.080,1.036
640038.690,7981052.080,0.190
636476.180,7971927.070,0.969
637726.180,7975989.570,0.051
638476.180,7973177.070,0.765
638601.180,7979802.080,0.915
637413.680,7975239.570,0.041
636351.180,7971927.070,0.091
638788.680,7971614.560,1.048
636413.680,7970802.060,0.036
638163.680,7983177.080,0.430
640038.690,7980302.080,0.329
637601.180,7972364.570,1.451
639163.680,7973614.570,0.627
635913.680,7971552.060,0.076
636413.680,7971489.560,0.093
638288.680,7972927.070,0.997
637538.680,7981427.080,1.150
638163.680,7974864.570,0.942
635726.180,7979739.580,0.225
639351.180,7982239.580,0.056
638726.180,7980552.080,0.320
637538.680,7975739.570,0.658
634663.680,7969864.560,0.712
638538.680,7975364.570,0.183
637601.180,7981677.080,0.442
638976.180,7971927.070,0.524
639226.180,7981239.580,0.867
637163.680,7979364.580,0.425
636288.680,7972489.570,0.452
636101.180,7970177.060,0.386
639288.680,7973614.570,0.569
636413.680,7974864.570,0.105
637476.180,7978739.580,1.192
638038.680,7973239.570,0.442
636726.180,7976239.570,0.672
638101.180,7979177.080,1.093
638038.680,7973052.070,0.442
635851.180,7979239.580,0.973
636163.680,7972114.570,0.325
639101.180,7975239.570,0.526
637913.680,7972114.570,0.583
639413.680,7981552.080,0.257
635913.680,7972677.070,0.411
637226.180,7975364.570,0.093
638288.680,7977552.070,0.775
637538.680,7977614.570,0.032
634976.180,7970927.060,0.594
637538.680,7976239.570,0.046
636851.180,7978427.080,0.317
636913.680,7977864.570,0.358
638851.180,7974739.570,0.933
636726.180,7971864.570,0.702
639226.180,7972989.570,0.288
637663.680,7981177.080,0.965
637226.180,7977364.570,0.073
639163.680,7973989.570,0.534
636663.680,7978364.580,0.140
638476.180,7975614.570,0.152
637851.180,7982489.580,1.443
639601.180,7979989.580,0.922
636226.180,7977177.070,0.244
635976.180,7970802.060,0.154
639413.680,7980177.080,0.251
637163.680,7973864.570,0.284
636226.180,7977552.070,0.691
637663.680,7977302.070,0.033
639038.680,7981364.580,0.868
634851.180,7970052.060,0.658
638226.180,7982177.080,0.654
636288.680,7974427.070,0.530
639226.180,7973864.570,0.926
637288.680,7974552.070,0.175
638226.180,7975114.570,1.407
638663.680,7977302.070,0.999
636226.180,7973302.070,0.366
637663.680,7979614.580,1.347
635851.180,7976802.070,0.478
637226.180,7973802.070,0.111
634726.180,7969114.560,0.650
639413.680,7979677.080,0.393
637726.180,7979177.080,0.050
638976.180,7977614.570,1.194
635913.680,7979739.580,0.098
638538.680,7973052.070,1.542
637851.180,7982989.580,0.807
635726.180,7979802.080,0.096
637101.180,7976989.570,0.034
634726.180,7971052.060,1.222
638788.680,7983114.580,0.939
635976.180,7976989.570,0.202
636913.680,7974114.570,1.444
638726.180,7982677.080,0.361
636601.180,7974989.570,0.052
637163.680,7974302.070,0.438
636913.680,7979614.580,0.067
640038.690,7981114.580,0.177
634288.680,7971489.560,0.089
634476.180,7969614.560,0.628
638163.680,7972802.070,0.465
636788.680,7975739.570,0.130
635163.680,7970489.560,0.874
637163.680,7975614.570,0.592
