X,Y,MISS_DUMMY,MISS_MLR,MISS_DT,MISS_GNB,MISS_KNN,MISS_SVM,MISS_RF,MISS_XGB,MISS_MLP
634788.680,7969489.560,0,0,0,0,0,0,0,0,0
636163.680,7979739.580,0,0,0,0,0,0,0,0,0
635788.680,7976614.570,0,0,0,0,0,0,0,0,0
637288.680,7979614.580,0,0,0,0,0,0,0,0,0
634226.180,7971864.570,0,0,0,0,0,0,0,0,0
639913.680,7980364.580,0,0,0,0,0,0,0,0,0
636601.180,7970739.560,0,0,0,0,0,0,0,0,0
636601.180,7971427.060,0,0,0,0,0,0,0,0,0
634288.680,7971802.070,0,0,0,0,0,0,0,0,0
638351.180,7973677.070,0,0,0,0,0,0,0,0,0
638476.180,7971614.560,0,0,0,0,0,0,0,0,0
636851.180,7978364.580,0,0,0,0,0,0,0,0,0
636538.680,7971489.560,0,0,0,0,0,0,0,0,0
639226.180,7977677.070,0,0,0,0,0,0,0,0,0
636226.180,7977927.070,0,0,0,0,0,0,0,0,0
637726.180,7975427.070,0,0,0,0,0,0,0,0,0
634476.180,7972052.070,0,0,0,0,0,0,0,0,0
637351.180,7977177.070,0,0,0,0,0,0,0,0,0
638101.180,7972489.570,0,0,0,0,0,0,0,0,0
637038.680,7978239.580,0,0,0,0,0,0,0,0,0
636788.680,7973739.570,0,0,0,0,0,0,0,0,0
637538.680,7971427.060,0,0,0,0,0,0,0,0,0
638413.680,7976364.570,0,0,0,0,0,0,0,0,0
639913.690,7980989.580,0,0,0,0,0,0,0,0,0
635163.680,7971052.060,0,0,0,0,0,0,0,0,0
637163.680,7980177.080,0,0,0,0,0,0,0,0,0
636663.680,7977802.070,0,0,0,0,0,0,0,0,0
637538.680,7982989.580,0,0,0,0,0,0,0,0,0
636601.180,7971052.060,0,0,0,0,0,0,0,0,0
638851.180,7978364.580,0,0,0,0,0,0,0,0,0
638976.180,7978552.080,0,0,0,0,0,0,0,0,0
636538.680,7974927.070,0,0,0,0,0,0,0,0,0
634851.180,7969677.060,0,0,0,0,0,0,0,0,0
640038.690,7982177.080,0,0,0,0,0,0,0,0,0
636351.180,7972614.570,0,0,0,0,0,0,0,0,0
635913.680,7976364.570,0,0,0,0,0,0,0,0,0
