X,Y,MLR
639163.6800000003,7980052.08,6
639538.68,7982927.079999999,5
637413.6800000003,7981989.580000001,6
638351.1800000003,7973677.07,3
634163.67,7971489.559999999,6
634226.1800000003,7971802.0699999975,6
638163.6800000003,7978239.57,4
637226.1800000003,7979114.58,3
638476.1800000003,7971614.559999998,4
638726.1800000003,7978489.58,6
638663.6800000003,7980052.08,5
634226.1800000003,7971427.059999999,6
634788.6800000003,7969489.559999999,4
636601.1800000003,7970177.06,2
639913.6800000003,7980114.58,6
639351.1800000003,7980989.580000001,4
635226.1800000003,7970239.559999999,2
636788.6800000003,7973739.5699999975,6
638288.6800000003,7976427.07,5
639913.6800000003,7980364.58,5
635538.68,7970989.56,2
638726.1800000003,7971989.57,4
638163.6800000003,7976239.57,3
636663.6800000003,7975614.57,4
636351.1800000003,7970552.059999998,1
637538.68,7971427.059999999,2
637351.1800000003,7980427.079999999,3
634413.6800000003,7970489.559999999,5
637726.1800000003,7975427.07,4
638163.6800000003,7976677.070000001,3
635788.6800000003,7971739.5699999975,2
636351.1800000003,7970802.059999998,1
637163.6800000003,7979989.580000001,3
639726.1800000003,7982614.579999999,5
634851.1800000003,7969677.06,2
639038.68,7982677.08,5
636663.6800000003,7977802.0699999975,4
637163.6800000003,7980114.58,3
638101.18,7980427.079999999,3
638788.6800000003,7982802.079999999,5
636976.1800000003,7975177.07,4
636788.6800000003,7979114.58,6
636226.1800000003,7971989.57,1
636413.6800000003,7970302.059999999,2
635976.1800000003,7979802.080000001,3
639788.6800000003,7980364.58,6
637163.6800000003,7978364.58,3
634413.6800000003,7971927.070000001,6
637788.6800000003,7979864.58,5
639976.19,7980614.579999999,6
638226.1800000003,7977052.07,3
637788.6800000003,7979802.080000001,3
638851.1800000003,7978739.58,6
638976.1800000003,7978489.58,6
638663.6800000003,7982302.08,5
636101.18,7971364.559999998,2
637663.6800000003,7973677.07,2
636288.6800000003,7970927.06,1
636601.1800000003,7970927.06,1
637788.6800000003,7976927.070000001,2
637226.1800000003,7975927.070000001,2
636726.1800000003,7977989.57,5
638726.1800000003,7978677.08,6
638601.1800000003,7978552.08,6
639226.1800000003,7978052.07,6
637851.1800000003,7977177.07,2
636476.1800000003,7970864.559999998,1
635788.6800000003,7971552.059999998,2
635913.6800000003,7976364.57,4
634163.6800000003,7971927.070000001,6
635788.6800000003,7979864.58,3
638601.1800000003,7971802.059999999,4
634163.6800000003,7971864.570000001,6
634413.6800000003,7971864.570000001,6
636976.1800000003,7978489.58,4
636851.1800000003,7979677.080000001,3
636538.68,7974302.0699999975,6
638726.1800000003,7981864.58,5
637288.6800000003,7979614.579999999,3
636601.1800000003,7979427.079999999,5
639226.1800000003,7977677.07,6
638726.1800000003,7972052.07,4
638101.18,7977052.07,3
635038.68,7971802.0699999975,5
636476.1800000003,7970802.059999998,1
636226.1800000003,7972614.570000001,1
639163.6800000003,7977802.0699999975,6
637413.6800000003,7983177.080000001,5
637288.6800000003,7978677.08,3
637226.1800000003,7976177.07,2
637351.1800000003,7979427.079999999,4
639226.1800000003,7982614.579999999,5
636163.6800000003,7970614.559999998,1
638976.1800000003,7978302.0699999975,6
634601.1800000003,7971864.570000001,4
638851.1800000003,7982052.08,5
636538.68,7980052.08,3
637226.1800000003,7978489.58,3
639663.6800000003,7982302.08,6
637538.68,7977989.57,2
637476.1800000003,7980552.08,6
637413.6800000003,7980802.079999999,6
638163.6800000003,7980177.080000001,5
634288.6800000003,7970427.059999999,5
638663.6800000003,7982364.58,5
638538.68,7976802.07,3
635038.68,7969302.059999999,4
638726.1800000003,7981489.58,3
638851.1800000003,7980427.079999999,5
638351.1800000003,7976864.570000001,5
639288.6800000003,7982364.58,5
639913.69,7980989.580000001,6
638538.68,7976614.570000001,3
638788.6800000003,7978677.08,6
638476.1800000003,7979864.58,5
635601.1800000003,7970802.059999998,2
638663.6800000003,7974052.07,4
638913.6800000003,7978864.579999999,6
636038.68,7969927.06,2
638726.1800000003,7973614.57,4
639226.1800000003,7974114.570000001,4
635726.1800000003,7971114.559999999,2
640038.69,7979802.080000001,6
634663.6800000003,7969927.06,2
637038.68,7978989.580000001,3
639101.18,7978364.58,6
638913.6800000003,7980864.579999999,5
636476.1800000003,7971489.559999999,1
639226.1800000003,7978614.579999999,6
639976.19,7982489.58,6
638351.1800000003,7976739.57,5
636913.6800000003,7978364.58,4
635601.1800000003,7974677.070000001,4
638038.68,7971552.059999998,4
639038.68,7982489.58,5
636351.1800000003,7971427.059999999,1
637726.1800000003,7978614.579999999,2
634663.6800000003,7971864.570000001,4
636913.6800000003,7974364.57,4
639788.6800000003,7980927.079999999,6
637038.68,7979677.080000001,3
636601.1800000003,7971114.559999999,1
638851.1800000003,7982864.579999999,5
638351.1800000003,7974739.57,4
637788.6800000003,7974114.570000001,1
639288.6800000003,7981052.08,3
636913.6800000003,7979427.079999999,5
639038.68,7978364.58,6
639038.68,7978739.58,6
635851.1800000003,7969989.56,2
636101.18,7977552.0699999975,4
635351.1800000003,7969489.559999999,2
638851.1800000003,7978364.58,6
636101.18,7976364.57,4
634538.68,7971864.570000001,6
638288.6800000003,7980677.08,3
638476.1800000003,7977114.570000001,5
637413.6800000003,7971989.57,2
635351.1800000003,7971302.059999999,2
636913.6800000003,7980052.08,3
639851.19,7982552.08,5
638288.6800000003,7976239.57,3
635851.1800000003,7977302.0699999975,3
638538.68,7978427.079999999,3
639163.6800000003,7978427.079999999,6
636663.6800000003,7980114.58,3
636601.1800000003,7978739.58,4
637663.6800000003,7974489.5699999975,4
639976.19,7981177.080000001,6
635788.6800000003,7980177.080000001,3
636413.6800000003,7971364.559999998,1
636538.68,7970989.56,1
638726.1800000003,7980177.080000001,5
637163.6800000003,7980177.080000001,3
637851.1800000003,7983052.08,6
636351.1800000003,7970677.059999999,1
636976.1800000003,7977927.070000001,4
636038.68,7974239.57,6
638163.6800000003,7975989.57,2
639976.19,7981052.08,6
637788.6800000003,7981302.08,3
635788.6800000003,7970052.059999999,2
638663.6800000003,7971427.059999999,4
636476.1800000003,7969927.06,5
636288.6800000003,7976927.070000001,4
636288.6800000003,7969802.059999999,4
634226.1800000003,7971864.570000001,6
639663.6800000003,7979802.080000001,5
638538.68,7975864.570000001,2
639913.6800000003,7980802.079999999,6
637601.1800000003,7974802.07,4
639976.19,7980302.08,6
637351.1800000003,7976614.570000001,2
638288.6800000003,7977114.570000001,5
634413.6800000003,7971989.57,6
638913.6800000003,7982489.58,5
637538.68,7980177.080000001,3
638163.6800000003,7979114.58,3
