X,Y,RF
639163.6800000003,7980052.08,0
639538.68,7982927.079999999,0
637413.6800000003,7981989.580000001,0
638351.1800000003,7973677.07,0
634163.67,7971489.559999999,0
634226.1800000003,7971802.0699999975,0
638163.6800000003,7978239.57,0
637226.1800000003,7979114.58,0
638476.1800000003,7971614.559999998,0
638726.1800000003,7978489.58,0
638663.6800000003,7980052.08,0
634226.1800000003,7971427.059999999,0
634788.6800000003,7969489.559999999,0
636601.1800000003,7970177.06,0
639913.6800000003,7980114.58,0
639351.1800000003,7980989.580000001,0
635226.1800000003,7970239.559999999,0
636788.6800000003,7973739.5699999975,0
638288.6800000003,7976427.07,0
639913.6800000003,7980364.58,0
635538.68,7970989.56,0
638726.1800000003,7971989.57,0
638163.6800000003,7976239.57,0
636663.6800000003,7975614.57,0
636351.1800000003,7970552.059999998,0
637538.68,7971427.059999999,0
637351.1800000003,7980427.079999999,0
634413.6800000003,7970489.559999999,0
637726.1800000003,7975427.07,0
638163.6800000003,7976677.070000001,0
635788.6800000003,7971739.5699999975,0
636351.1800000003,7970802.059999998,0
637163.6800000003,7979989.580000001,0
639726.1800000003,7982614.579999999,0
634851.1800000003,7969677.06,0
639038.68,7982677.08,0
636663.6800000003,7977802.0699999975,0
637163.6800000003,7980114.58,0
638101.18,7980427.079999999,0
638788.6800000003,7982802.079999999,0
636976.1800000003,7975177.07,0
636788.6800000003,7979114.58,0
636226.1800000003,7971989.57,0
636413.6800000003,7970302.059999999,0
635976.1800000003,7979802.080000001,0
639788.6800000003,7980364.58,0
637163.6800000003,7978364.58,0
634413.6800000003,7971927.070000001,0
637788.6800000003,7979864.58,0
639976.19,7980614.579999999,0
638226.1800000003,7977052.07,0
637788.6800000003,7979802.080000001,0
638851.1800000003,7978739.58,0
638976.1800000003,7978489.58,0
638663.6800000003,7982302.08,0
636101.18,7971364.559999998,0
637663.6800000003,7973677.07,0
636288.6800000003,7970927.06,0
636601.1800000003,7970927.06,0
637788.6800000003,7976927.070000001,0
637226.1800000003,7975927.070000001,0
636726.1800000003,7977989.57,0
638726.1800000003,7978677.08,0
638601.1800000003,7978552.08,0
639226.1800000003,7978052.07,0
637851.1800000003,7977177.07,0
636476.1800000003,7970864.559999998,0
635788.6800000003,7971552.059999998,0
635913.6800000003,7976364.57,0
634163.6800000003,7971927.070000001,0
635788.6800000003,7979864.58,0
638601.1800000003,7971802.059999999,0
634163.6800000003,7971864.570000001,0
634413.6800000003,7971864.570000001,0
636976.1800000003,7978489.58,0
636851.1800000003,7979677.080000001,0
636538.68,7974302.0699999975,0
638726.1800000003,7981864.58,0
637288.6800000003,7979614.579999999,0
636601.1800000003,7979427.079999999,0
639226.1800000003,7977677.07,0
638726.1800000003,7972052.07,0
638101.18,7977052.07,0
635038.68,7971802.0699999975,0
636476.1800000003,7970802.059999998,0
636226.1800000003,7972614.570000001,0
639163.6800000003,7977802.0699999975,0
637413.6800000003,7983177.080000001,0
637288.6800000003,7978677.08,0
637226.1800000003,7976177.07,0
637351.1800000003,7979427.079999999,0
639226.1800000003,7982614.579999999,0
636163.6800000003,7970614.559999998,0
638976.1800000003,7978302.0699999975,0
634601.1800000003,7971864.570000001,0
638851.1800000003,7982052.08,0
636538.68,7980052.08,0
637226.1800000003,7978489.58,0
639663.6800000003,7982302.08,0
637538.68,7977989.57,0
637476.1800000003,7980552.08,0
637413.6800000003,7980802.079999999,0
638163.6800000003,7980177.080000001,0
634288.6800000003,7970427.059999999,0
638663.6800000003,7982364.58,0
638538.68,7976802.07,0
635038.68,7969302.059999999,0
638726.1800000003,7981489.58,0
638851.1800000003,7980427.079999999,0
638351.1800000003,7976864.570000001,0
639288.6800000003,7982364.58,0
639913.69,7980989.580000001,0
638538.68,7976614.570000001,0
638788.6800000003,7978677.08,0
638476.1800000003,7979864.58,0
635601.1800000003,7970802.059999998,0
638663.6800000003,7974052.07,0
638913.6800000003,7978864.579999999,0
636038.68,7969927.06,0
638726.1800000003,7973614.57,0
639226.1800000003,7974114.570000001,0
635726.1800000003,7971114.559999999,0
640038.69,7979802.080000001,0
634663.6800000003,7969927.06,0
637038.68,7978989.580000001,0
639101.18,7978364.58,0
638913.6800000003,7980864.579999999,0
636476.1800000003,7971489.559999999,0
639226.1800000003,7978614.579999999,0
639976.19,7982489.58,0
638351.1800000003,7976739.57,0
636913.6800000003,7978364.58,0
635601.1800000003,7974677.070000001,0
638038.68,7971552.059999998,0
639038.68,7982489.58,0
636351.1800000003,7971427.059999999,0
637726.1800000003,7978614.579999999,0
634663.6800000003,7971864.570000001,0
636913.6800000003,7974364.57,0
639788.6800000003,7980927.079999999,0
637038.68,7979677.080000001,0
636601.1800000003,7971114.559999999,0
638851.1800000003,7982864.579999999,0
638351.1800000003,7974739.57,0
637788.6800000003,7974114.570000001,0
639288.6800000003,7981052.08,0
636913.6800000003,7979427.079999999,0
639038.68,7978364.58,0
639038.68,7978739.58,0
635851.1800000003,7969989.56,0
636101.18,7977552.0699999975,0
635351.1800000003,7969489.559999999,0
638851.1800000003,7978364.58,0
636101.18,7976364.57,0
634538.68,7971864.570000001,0
638288.6800000003,7980677.08,0
638476.1800000003,7977114.570000001,0
637413.6800000003,7971989.57,0
635351.1800000003,7971302.059999999,0
636913.6800000003,7980052.08,0
639851.19,7982552.08,0
638288.6800000003,7976239.57,0
635851.1800000003,7977302.0699999975,0
638538.68,7978427.079999999,0
639163.6800000003,7978427.079999999,0
636663.6800000003,7980114.58,0
636601.1800000003,7978739.58,0
637663.6800000003,7974489.5699999975,0
639976.19,7981177.080000001,0
635788.6800000003,7980177.080000001,0
636413.6800000003,7971364.559999998,0
636538.68,7970989.56,0
638726.1800000003,7980177.080000001,0
637163.6800000003,7980177.080000001,0
637851.1800000003,7983052.08,0
636351.1800000003,7970677.059999999,0
636976.1800000003,7977927.070000001,0
636038.68,7974239.57,0
638163.6800000003,7975989.57,0
639976.19,7981052.08,0
637788.6800000003,7981302.08,0
635788.6800000003,7970052.059999999,0
638663.6800000003,7971427.059999999,0
636476.1800000003,7969927.06,0
636288.6800000003,7976927.070000001,0
636288.6800000003,7969802.059999999,0
634226.1800000003,7971864.570000001,0
639663.6800000003,7979802.080000001,0
638538.68,7975864.570000001,0
639913.6800000003,7980802.079999999,0
637601.1800000003,7974802.07,0
639976.19,7980302.08,0
637351.1800000003,7976614.570000001,0
638288.6800000003,7977114.570000001,0
634413.6800000003,7971989.57,0
