X,Y,MAcgg,PP3csbg,PP34b,PP4esjc,PP4esb,PP4egm
639163.6800000003,7980052.08,0.0,0.0,0.02,0.12,0.84,0.02
639538.68,7982927.079999999,0.0,0.06,0.04,0.02,0.88,0.0
637413.6800000003,7981989.580000001,0.0,0.0,0.2,0.08,0.68,0.04
638351.1800000003,7973677.07,0.0,0.02,0.26,0.68,0.04,0.0
634163.67,7971489.559999999,0.0,0.0,0.02,0.0,0.0,0.98
634226.1800000003,7971802.0699999975,0.0,0.0,0.0,0.0,0.1,0.9
638163.6800000003,7978239.57,0.0,0.0,0.84,0.14,0.02,0.0
637226.1800000003,7979114.58,0.0,0.0,0.82,0.12,0.06,0.0
638476.1800000003,7971614.559999998,0.0,0.02,0.02,0.94,0.02,0.0
638726.1800000003,7978489.58,0.0,0.0,0.04,0.02,0.08,0.86
638663.6800000003,7980052.08,0.0,0.0,0.04,0.02,0.74,0.2
634226.1800000003,7971427.059999999,0.0,0.0,0.0,0.0,0.1,0.9
634788.6800000003,7969489.559999999,0.0,0.1,0.0,0.8,0.08,0.02
636601.1800000003,7970177.06,0.02,0.8,0.0,0.1,0.08,0.0
639913.6800000003,7980114.58,0.0,0.0,0.0,0.04,0.02,0.94
639351.1800000003,7980989.580000001,0.0,0.0,0.1,0.06,0.8,0.04
635226.1800000003,7970239.559999999,0.04,0.84,0.0,0.12,0.0,0.0
636788.6800000003,7973739.5699999975,0.0,0.02,0.08,0.72,0.04,0.14
638288.6800000003,7976427.07,0.0,0.0,0.82,0.0,0.14,0.04
639913.6800000003,7980364.58,0.0,0.0,0.06,0.02,0.1,0.82
635538.68,7970989.56,0.0,0.96,0.0,0.04,0.0,0.0
638726.1800000003,7971989.57,0.0,0.06,0.02,0.92,0.0,0.0
638163.6800000003,7976239.57,0.0,0.1,0.84,0.0,0.06,0.0
636663.6800000003,7975614.57,0.0,0.04,0.0,0.88,0.08,0.0
636351.1800000003,7970552.059999998,0.98,0.02,0.0,0.0,0.0,0.0
637538.68,7971427.059999999,0.04,0.16,0.0,0.8,0.0,0.0
637351.1800000003,7980427.079999999,0.0,0.0,0.72,0.0,0.2,0.08
634413.6800000003,7970489.559999999,0.02,0.02,0.0,0.14,0.82,0.0
637726.1800000003,7975427.07,0.0,0.74,0.0,0.26,0.0,0.0
638163.6800000003,7976677.070000001,0.0,0.06,0.64,0.12,0.18,0.0
635788.6800000003,7971739.5699999975,0.0,0.98,0.0,0.0,0.02,0.0
636351.1800000003,7970802.059999998,0.98,0.02,0.0,0.0,0.0,0.0
637163.6800000003,7979989.580000001,0.0,0.0,1.0,0.0,0.0,0.0
639726.1800000003,7982614.579999999,0.0,0.06,0.08,0.02,0.84,0.0
634851.1800000003,7969677.06,0.0,0.24,0.0,0.62,0.14,0.0
639038.68,7982677.08,0.0,0.06,0.0,0.0,0.92,0.02
636663.6800000003,7977802.0699999975,0.0,0.04,0.04,0.86,0.04,0.02
637163.6800000003,7980114.58,0.0,0.0,1.0,0.0,0.0,0.0
638101.18,7980427.079999999,0.0,0.02,0.16,0.0,0.8,0.02
638788.6800000003,7982802.079999999,0.0,0.1,0.02,0.04,0.8,0.04
636976.1800000003,7975177.07,0.0,0.0,0.04,0.92,0.04,0.0
636788.6800000003,7979114.58,0.0,0.0,0.9,0.06,0.02,0.02
636226.1800000003,7971989.57,0.12,0.8,0.0,0.06,0.02,0.0
636413.6800000003,7970302.059999999,0.0,0.96,0.0,0.04,0.0,0.0
635976.1800000003,7979802.080000001,0.0,0.0,1.0,0.0,0.0,0.0
639788.6800000003,7980364.58,0.0,0.0,0.02,0.0,0.2,0.78
637163.6800000003,7978364.58,0.0,0.02,0.94,0.04,0.0,0.0
634413.6800000003,7971927.070000001,0.0,0.02,0.0,0.04,0.0,0.94
637788.6800000003,7979864.58,0.0,0.84,0.1,0.0,0.06,0.0
639976.19,7980614.579999999,0.0,0.0,0.0,0.0,0.0,1.0
638226.1800000003,7977052.07,0.0,0.0,0.72,0.02,0.22,0.04
637788.6800000003,7979802.080000001,0.0,0.68,0.12,0.02,0.16,0.02
638851.1800000003,7978739.58,0.0,0.0,0.0,0.02,0.02,0.96
638976.1800000003,7978489.58,0.0,0.0,0.0,0.0,0.0,1.0
638663.6800000003,7982302.08,0.0,0.0,0.06,0.0,0.06,0.88
636101.18,7971364.559999998,0.08,0.9,0.0,0.0,0.02,0.0
637663.6800000003,7973677.07,0.0,0.22,0.06,0.7,0.02,0.0
636288.6800000003,7970927.06,0.28,0.7,0.02,0.0,0.0,0.0
636601.1800000003,7970927.06,1.0,0.0,0.0,0.0,0.0,0.0
637788.6800000003,7976927.070000001,0.0,0.98,0.0,0.02,0.0,0.0
637226.1800000003,7975927.070000001,0.04,0.68,0.12,0.06,0.1,0.0
636726.1800000003,7977989.57,0.0,0.04,0.02,0.88,0.06,0.0
638726.1800000003,7978677.08,0.0,0.0,0.04,0.02,0.02,0.92
638601.1800000003,7978552.08,0.0,0.0,0.02,0.0,0.0,0.98
639226.1800000003,7978052.07,0.0,0.0,0.0,0.0,0.12,0.88
637851.1800000003,7977177.07,0.0,1.0,0.0,0.0,0.0,0.0
636476.1800000003,7970864.559999998,1.0,0.0,0.0,0.0,0.0,0.0
635788.6800000003,7971552.059999998,0.02,0.98,0.0,0.0,0.0,0.0
635913.6800000003,7976364.57,0.0,0.02,0.08,0.84,0.02,0.04
634163.6800000003,7971927.070000001,0.0,0.0,0.0,0.0,0.06,0.94
635788.6800000003,7979864.58,0.0,0.0,0.88,0.02,0.06,0.04
638601.1800000003,7971802.059999999,0.0,0.04,0.0,0.94,0.0,0.02
634163.6800000003,7971864.570000001,0.0,0.02,0.0,0.0,0.14,0.84
634413.6800000003,7971864.570000001,0.0,0.04,0.0,0.04,0.02,0.9
636976.1800000003,7978489.58,0.0,0.0,0.78,0.18,0.04,0.0
636851.1800000003,7979677.080000001,0.0,0.0,0.94,0.02,0.02,0.02
636538.68,7974302.0699999975,0.0,0.0,0.02,0.76,0.16,0.06
638726.1800000003,7981864.58,0.0,0.0,0.02,0.72,0.12,0.14
637288.6800000003,7979614.579999999,0.0,0.0,0.82,0.06,0.1,0.02
636601.1800000003,7979427.079999999,0.0,0.02,0.74,0.08,0.08,0.08
639226.1800000003,7977677.07,0.0,0.0,0.06,0.0,0.88,0.06
638726.1800000003,7972052.07,0.0,0.06,0.04,0.88,0.0,0.02
638101.18,7977052.07,0.0,0.02,0.86,0.06,0.06,0.0
635038.68,7971802.0699999975,0.0,0.04,0.0,0.06,0.9,0.0
636476.1800000003,7970802.059999998,0.9,0.02,0.0,0.02,0.02,0.04
636226.1800000003,7972614.570000001,0.02,0.8,0.0,0.08,0.1,0.0
639163.6800000003,7977802.0699999975,0.0,0.0,0.04,0.0,0.14,0.82
637413.6800000003,7983177.080000001,0.0,0.08,0.02,0.0,0.86,0.04
637288.6800000003,7978677.08,0.0,0.04,0.74,0.02,0.18,0.02
637226.1800000003,7976177.07,0.0,1.0,0.0,0.0,0.0,0.0
637351.1800000003,7979427.079999999,0.0,0.0,0.88,0.12,0.0,0.0
639226.1800000003,7982614.579999999,0.0,0.0,0.0,0.0,1.0,0.0
636163.6800000003,7970614.559999998,0.3,0.7,0.0,0.0,0.0,0.0
638976.1800000003,7978302.0699999975,0.0,0.0,0.0,0.0,0.06,0.94
634601.1800000003,7971864.570000001,0.0,0.04,0.0,0.0,0.14,0.82
638851.1800000003,7982052.08,0.0,0.0,0.0,0.0,0.72,0.28
636538.68,7980052.08,0.0,0.0,0.96,0.0,0.04,0.0
637226.1800000003,7978489.58,0.0,0.04,0.92,0.02,0.02,0.0
639663.6800000003,7982302.08,0.0,0.0,0.02,0.02,0.88,0.08
637538.68,7977989.57,0.0,1.0,0.0,0.0,0.0,0.0
637476.1800000003,7980552.08,0.0,0.0,0.04,0.0,0.76,0.2
637413.6800000003,7980802.079999999,0.0,0.0,0.12,0.0,0.78,0.1
638163.6800000003,7980177.080000001,0.0,0.0,0.02,0.04,0.86,0.08
634288.6800000003,7970427.059999999,0.0,0.04,0.0,0.14,0.78,0.04
638663.6800000003,7982364.58,0.0,0.0,0.0,0.0,0.08,0.92
638538.68,7976802.07,0.0,0.0,0.12,0.82,0.02,0.04
635038.68,7969302.059999999,0.0,0.2,0.0,0.76,0.04,0.0
638726.1800000003,7981489.58,0.0,0.0,0.06,0.0,0.08,0.86
638851.1800000003,7980427.079999999,0.0,0.06,0.16,0.04,0.74,0.0
638351.1800000003,7976864.570000001,0.0,0.0,0.78,0.08,0.12,0.02
639288.6800000003,7982364.58,0.0,0.0,0.0,0.0,1.0,0.0
639913.69,7980989.580000001,0.0,0.0,0.1,0.0,0.0,0.9
638538.68,7976614.570000001,0.0,0.0,0.2,0.74,0.06,0.0
638788.6800000003,7978677.08,0.0,0.02,0.0,0.0,0.04,0.94
638476.1800000003,7979864.58,0.0,0.0,0.0,0.02,0.94,0.04
635601.1800000003,7970802.059999998,0.02,0.9,0.0,0.08,0.0,0.0
638663.6800000003,7974052.07,0.0,0.1,0.06,0.78,0.04,0.02
638913.6800000003,7978864.579999999,0.0,0.0,0.0,0.0,0.62,0.38
636038.68,7969927.06,0.0,0.82,0.02,0.14,0.0,0.02
638726.1800000003,7973614.57,0.0,0.0,0.1,0.6,0.1,0.2
639226.1800000003,7974114.570000001,0.0,0.02,0.02,0.92,0.04,0.0
635726.1800000003,7971114.559999999,0.06,0.94,0.0,0.0,0.0,0.0
640038.69,7979802.080000001,0.0,0.0,0.0,0.02,0.02,0.96
634663.6800000003,7969927.06,0.0,0.24,0.0,0.72,0.04,0.0
637038.68,7978989.580000001,0.0,0.0,0.8,0.16,0.04,0.0
639101.18,7978364.58,0.0,0.0,0.02,0.0,0.02,0.96
638913.6800000003,7980864.579999999,0.0,0.04,0.02,0.06,0.84,0.04
636476.1800000003,7971489.559999999,0.96,0.02,0.0,0.02,0.0,0.0
639226.1800000003,7978614.579999999,0.0,0.0,0.0,0.0,0.0,1.0
639976.19,7982489.58,0.0,0.0,0.1,0.12,0.78,0.0
638351.1800000003,7976739.57,0.0,0.0,0.8,0.14,0.06,0.0
636913.6800000003,7978364.58,0.0,0.02,0.78,0.14,0.02,0.04
635601.1800000003,7974677.070000001,0.0,0.0,0.06,0.1,0.8,0.04
638038.68,7971552.059999998,0.0,0.94,0.04,0.02,0.0,0.0
639038.68,7982489.58,0.0,0.0,0.02,0.0,0.96,0.02
636351.1800000003,7971427.059999999,0.22,0.78,0.0,0.0,0.0,0.0
637726.1800000003,7978614.579999999,0.0,0.82,0.1,0.02,0.06,0.0
634663.6800000003,7971864.570000001,0.0,0.02,0.04,0.04,0.68,0.22
636913.6800000003,7974364.57,0.0,0.02,0.08,0.88,0.02,0.0
639788.6800000003,7980927.079999999,0.0,0.04,0.14,0.24,0.04,0.54
637038.68,7979677.080000001,0.0,0.0,0.98,0.0,0.02,0.0
636601.1800000003,7971114.559999999,0.92,0.06,0.0,0.02,0.0,0.0
638851.1800000003,7982864.579999999,0.0,0.06,0.0,0.04,0.86,0.04
638351.1800000003,7974739.57,0.04,0.16,0.0,0.72,0.08,0.0
637788.6800000003,7974114.570000001,0.0,0.78,0.02,0.18,0.02,0.0
639288.6800000003,7981052.08,0.0,0.06,0.2,0.0,0.72,0.02
636913.6800000003,7979427.079999999,0.0,0.0,0.88,0.0,0.04,0.08
639038.68,7978364.58,0.0,0.0,0.0,0.0,0.02,0.98
639038.68,7978739.58,0.0,0.0,0.0,0.0,0.06,0.94
635851.1800000003,7969989.56,0.0,0.96,0.0,0.04,0.0,0.0
636101.18,7977552.0699999975,0.0,0.0,0.32,0.68,0.0,0.0
635351.1800000003,7969489.559999999,0.04,0.94,0.02,0.0,0.0,0.0
638851.1800000003,7978364.58,0.0,0.0,0.0,0.0,0.1,0.9
636101.18,7976364.57,0.0,0.0,0.06,0.92,0.02,0.0
634538.68,7971864.570000001,0.0,0.0,0.0,0.0,0.04,0.96
638288.6800000003,7980677.08,0.0,0.0,0.04,0.04,0.88,0.04
638476.1800000003,7977114.570000001,0.0,0.0,0.8,0.06,0.12,0.02
637413.6800000003,7971989.57,0.04,0.12,0.0,0.78,0.06,0.0
635351.1800000003,7971302.059999999,0.06,0.82,0.0,0.06,0.06,0.0
636913.6800000003,7980052.08,0.0,0.02,0.94,0.0,0.02,0.02
639851.19,7982552.08,0.0,0.0,0.08,0.04,0.86,0.02
638288.6800000003,7976239.57,0.0,0.04,0.88,0.02,0.06,0.0
635851.1800000003,7977302.0699999975,0.0,0.0,0.2,0.68,0.1,0.02
638538.68,7978427.079999999,0.0,0.0,0.04,0.04,0.08,0.84
639163.6800000003,7978427.079999999,0.0,0.0,0.0,0.02,0.02,0.96
636663.6800000003,7980114.58,0.0,0.0,1.0,0.0,0.0,0.0
636601.1800000003,7978739.58,0.0,0.0,0.76,0.18,0.04,0.02
637663.6800000003,7974489.5699999975,0.0,0.64,0.02,0.32,0.02,0.0
639976.19,7981177.080000001,0.0,0.0,0.0,0.04,0.08,0.88
635788.6800000003,7980177.080000001,0.0,0.0,0.94,0.0,0.04,0.02
636413.6800000003,7971364.559999998,0.22,0.74,0.0,0.02,0.02,0.0
636538.68,7970989.56,0.98,0.02,0.0,0.0,0.0,0.0
638726.1800000003,7980177.080000001,0.0,0.0,0.1,0.0,0.82,0.08
637163.6800000003,7980177.080000001,0.0,0.0,0.96,0.0,0.02,0.02
637851.1800000003,7983052.08,0.0,0.0,0.0,0.82,0.12,0.06
636351.1800000003,7970677.059999999,1.0,0.0,0.0,0.0,0.0,0.0
636976.1800000003,7977927.070000001,0.0,0.02,0.88,0.1,0.0,0.0
636038.68,7974239.57,0.0,0.0,0.1,0.7,0.12,0.08
638163.6800000003,7975989.57,0.0,0.28,0.72,0.0,0.0,0.0
639976.19,7981052.08,0.0,0.0,0.08,0.02,0.02,0.88
637788.6800000003,7981302.08,0.0,0.0,0.16,0.02,0.78,0.04
635788.6800000003,7970052.059999999,0.0,0.92,0.04,0.02,0.02,0.0
638663.6800000003,7971427.059999999,0.0,0.0,0.12,0.84,0.04,0.0
636476.1800000003,7969927.06,0.02,0.88,0.0,0.06,0.04,0.0
636288.6800000003,7976927.070000001,0.0,0.0,0.04,0.96,0.0,0.0
636288.6800000003,7969802.059999999,0.02,0.66,0.0,0.24,0.06,0.02
634226.1800000003,7971864.570000001,0.0,0.02,0.02,0.0,0.06,0.9
639663.6800000003,7979802.080000001,0.0,0.0,0.04,0.04,0.84,0.08
638538.68,7975864.570000001,0.0,0.18,0.8,0.0,0.02,0.0
639913.6800000003,7980802.079999999,0.0,0.0,0.0,0.0,0.0,1.0
637601.1800000003,7974802.07,0.0,0.02,0.02,0.94,0.02,0.0
639976.19,7980302.08,0.0,0.0,0.02,0.06,0.04,0.88
637351.1800000003,7976614.570000001,0.0,1.0,0.0,0.0,0.0,0.0
638288.6800000003,7977114.570000001,0.0,0.0,0.9,0.02,0.06,0.02
634413.6800000003,7971989.57,0.0,0.02,0.0,0.02,0.0,0.96
638913.6800000003,7982489.58,0.0,0.12,0.0,0.06,0.82,0.0
637538.68,7980177.080000001,0.0,0.0,1.0,0.0,0.0,0.0
638163.6800000003,7979114.58,0.0,0.0,0.08,0.04,0.84,0.04
638101.18,7976364.57,0.0,0.82,0.1,0.02,0.06,0.0
639351.1800000003,7982802.079999999,0.0,0.04,0.0,0.04,0.92,0.0
636163.6800000003,7980114.58,0.0,0.0,1.0,0.0,0.0,0.0
636663.6800000003,7979552.08,0.0,0.0,0.92,0.0,0.04,0.04
637476.1800000003,7981927.08,0.0,0.0,0.04,0.02,0.9,0.04
636101.18,7973927.070000001,0.0,0.0,0.08,0.78,0.12,0.02
637101.18,7978989.580000001,0.0,0.0,0.86,0.1,0.04,0.0
639226.1800000003,7972927.070000001,0.0,0.0,0.08,0.1,0.78,0.04
634476.1800000003,7971864.570000001,0.0,0.02,0.0,0.06,0.0,0.92
638851.1800000003,7973239.57,0.0,0.02,0.04,0.1,0.78,0.06
637913.6800000003,7977552.0699999975,0.0,0.12,0.84,0.02,0.02,0.0
638851.1800000003,7980239.58,0.0,0.06,0.28,0.02,0.64,0.0
637976.1800000003,7974177.07,0.0,0.84,0.0,0.14,0.02,0.0
636726.1800000003,7980052.08,0.0,0.0,0.94,0.0,0.04,0.02
638163.6800000003,7976302.0699999975,0.0,0.14,0.8,0.02,0.04,0.0
637476.1800000003,7973739.5699999975,0.0,0.08,0.08,0.82,0.0,0.02
639413.6800000003,7981864.58,0.0,0.0,0.26,0.0,0.72,0.02
638226.1800000003,7982552.08,0.0,0.0,0.1,0.78,0.1,0.02
639726.1800000003,7983052.08,0.0,0.02,0.0,0.0,0.98,0.0
638663.6800000003,7981489.58,0.0,0.0,0.04,0.1,0.04,0.82
638788.6800000003,7982114.58,0.0,0.0,0.06,0.06,0.04,0.84
638976.1800000003,7981989.580000001,0.0,0.0,0.0,0.0,0.96,0.04
636538.68,7971427.059999999,0.98,0.02,0.0,0.0,0.0,0.0
636226.1800000003,7970552.059999998,0.96,0.04,0.0,0.0,0.0,0.0
637226.1800000003,7978927.079999999,0.0,0.02,0.9,0.08,0.0,0.0
639038.68,7978239.57,0.0,0.0,0.0,0.0,0.02,0.98
638226.1800000003,7977177.07,0.0,0.02,0.84,0.04,0.04,0.06
637851.1800000003,7977802.0699999975,0.0,0.0,0.94,0.02,0.04,0.0
639913.6800000003,7980052.08,0.0,0.0,0.02,0.1,0.08,0.8
638851.1800000003,7981989.580000001,0.0,0.0,0.0,0.0,0.12,0.88
636538.68,7971552.059999998,0.88,0.08,0.0,0.04,0.0,0.0
640038.69,7980614.579999999,0.0,0.0,0.0,0.0,0.0,1.0
639851.19,7982427.079999999,0.0,0.0,0.06,0.0,0.88,0.06
636476.1800000003,7971302.059999999,0.96,0.04,0.0,0.0,0.0,0.0
637351.1800000003,7976552.0699999975,0.0,1.0,0.0,0.0,0.0,0.0
639163.6800000003,7978739.58,0.0,0.0,0.0,0.0,0.02,0.98
637288.6800000003,7977427.07,0.0,0.98,0.02,0.0,0.0,0.0
638976.1800000003,7980239.58,0.0,0.02,0.16,0.0,0.78,0.04
636413.6800000003,7971739.5699999975,0.98,0.0,0.0,0.0,0.02,0.0
639351.1800000003,7980739.58,0.0,0.0,0.06,0.02,0.86,0.06
635101.18,7970614.559999998,0.0,0.72,0.02,0.02,0.24,0.0
636038.68,7978864.579999999,0.0,0.02,0.1,0.82,0.04,0.02
637101.18,7979802.080000001,0.0,0.0,0.98,0.02,0.0,0.0
636163.6800000003,7977239.57,0.0,0.0,0.04,0.9,0.06,0.0
638601.1800000003,7981427.079999999,0.0,0.0,0.04,0.66,0.1,0.2
637663.6800000003,7979927.08,0.0,0.02,0.74,0.0,0.22,0.02
638038.68,7976177.07,0.0,0.36,0.6,0.0,0.04,0.0
636101.18,7971239.559999999,0.1,0.9,0.0,0.0,0.0,0.0
638226.1800000003,7980489.58,0.0,0.0,0.02,0.02,0.88,0.08
638663.6800000003,7982239.58,0.0,0.0,0.02,0.04,0.06,0.88
635538.68,7970239.559999999,0.02,0.94,0.02,0.02,0.0,0.0
636163.6800000003,7973364.57,0.0,0.0,0.0,0.8,0.14,0.06
635976.1800000003,7970239.559999999,0.08,0.8,0.04,0.08,0.0,0.0
638913.6800000003,7971677.06,0.0,0.0,0.1,0.84,0.04,0.02
637913.6800000003,7981302.08,0.0,0.0,0.08,0.04,0.84,0.04
637288.6800000003,7979427.079999999,0.0,0.0,0.96,0.02,0.0,0.02
637538.68,7972739.57,0.16,0.08,0.0,0.76,0.0,0.0
635351.1800000003,7969864.559999999,0.04,0.76,0.02,0.18,0.0,0.0
634476.1800000003,7972052.07,0.0,0.0,0.0,0.04,0.02,0.94
636476.1800000003,7971552.059999998,0.98,0.0,0.0,0.02,0.0,0.0
636038.68,7974052.07,0.0,0.0,0.06,0.8,0.08,0.06
639913.69,7982364.58,0.0,0.0,0.06,0.02,0.9,0.02
638413.6800000003,7975302.0699999975,0.0,0.18,0.0,0.82,0.0,0.0
637726.1800000003,7977364.57,0.0,1.0,0.0,0.0,0.0,0.0
637851.1800000003,7979052.08,0.0,0.9,0.1,0.0,0.0,0.0
637163.6800000003,7975614.57,0.0,0.0,0.16,0.76,0.04,0.04
637788.6800000003,7982177.080000001,0.0,0.0,0.04,0.2,0.76,0.0
